name,race,pick_name,pick_index,pick_race,names,races,same_race
Sidney,Hispanic,Dakota,1,Hispanic,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Asian' 'Hispanic' 'Multiracial' 'Black' 'Pacific Islander'
 'Middle Eastern' 'White' 'Native American']",True
Sidney,Hispanic,Jules,2,Hispanic,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern' 'White']",True
Sidney,Hispanic,Jordan,3,Hispanic,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['White' 'Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern']",True
Sidney,Hispanic,Parker,4,Hispanic,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Middle Eastern' 'White' 'Native American' 'Asian' 'Hispanic'
 'Multiracial' 'Black' 'Pacific Islander']",True
Sidney,Hispanic,Morgan,5,Hispanic,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Pacific Islander' 'Middle Eastern' 'White' 'Native American' 'Asian'
 'Hispanic' 'Multiracial' 'Black']",True
Sidney,Hispanic,Casey,6,Hispanic,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Black' 'Pacific Islander' 'Middle Eastern' 'White' 'Native American'
 'Asian' 'Hispanic' 'Multiracial']",True
Sidney,Hispanic,Ellis,7,Hispanic,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern' 'White'
 'Native American' 'Asian' 'Hispanic']",True
Sidney,Hispanic,Kendall,0,Hispanic,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Hispanic' 'Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern'
 'White' 'Native American' 'Asian']",True
Sidney,Multiracial,Jules,2,Multiracial,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Asian' 'Hispanic' 'Multiracial' 'Black' 'Pacific Islander'
 'Middle Eastern' 'White' 'Native American']",True
Sidney,Multiracial,Jordan,3,Multiracial,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern' 'White']",True
