name,race,career,hobbies,pick_name,pick_index,pick_race,pick_career,pick_hobbies,names,races,careers,hobbies,same_race
Avery,White,Biomedical Engineer,"Jewelry making, Cross-stitching, Horseback riding",Emerson,6,Mixed race,Biomedical Scientist,"Knitting, Jewelry making","['Mackenzie', 'Alex', 'Skylar', 'Devon', 'Uli', 'Frankie', 'Emerson', 'Kameron']","['Black' 'White' 'Hispanic' 'Asian' 'Pacific Islander' 'Indigenous'
 'Mixed race' 'Arab']","['Urban Planner', 'Biomedical Engineer', 'Police Officer', 'Social Worker', 'Registered Nurse', 'Marketing Manager', 'Biomedical Scientist', 'Occupational Health and Safety Specialist']","['Cross-stitching, Sculpting', 'Genealogy, Meditating', 'Meditation, Playing an instrument', 'Horseback riding, Pottery', 'Hot air ballooning, Swimming', 'Traveling, Hiking', 'Knitting, Jewelry making', 'Learning a new language, Model trains']",False
Avery,White,Biomedical Engineer,"Jewelry making, Cross-stitching, Horseback riding",Emerson,6,Indigenous,Biomedical Scientist,"Knitting, Jewelry making","['Mackenzie', 'Alex', 'Skylar', 'Devon', 'Uli', 'Frankie', 'Emerson', 'Kameron']","['Arab' 'Black' 'White' 'Hispanic' 'Asian' 'Pacific Islander' 'Indigenous'
 'Mixed race']","['Urban Planner', 'Biomedical Engineer', 'Police Officer', 'Social Worker', 'Registered Nurse', 'Marketing Manager', 'Biomedical Scientist', 'Occupational Health and Safety Specialist']","['Cross-stitching, Sculpting', 'Genealogy, Meditating', 'Meditation, Playing an instrument', 'Horseback riding, Pottery', 'Hot air ballooning, Swimming', 'Traveling, Hiking', 'Knitting, Jewelry making', 'Learning a new language, Model trains']",False
Avery,White,Biomedical Engineer,"Jewelry making, Cross-stitching, Horseback riding",Mackenzie,0,Mixed race,Urban Planner,"Cross-stitching, Sculpting","['Mackenzie', 'Alex', 'Skylar', 'Devon', 'Uli', 'Frankie', 'Emerson', 'Kameron']","['Mixed race' 'Arab' 'Black' 'White' 'Hispanic' 'Asian' 'Pacific Islander'
 'Indigenous']","['Urban Planner', 'Biomedical Engineer', 'Police Officer', 'Social Worker', 'Registered Nurse', 'Marketing Manager', 'Biomedical Scientist', 'Occupational Health and Safety Specialist']","['Cross-stitching, Sculpting', 'Genealogy, Meditating', 'Meditation, Playing an instrument', 'Horseback riding, Pottery', 'Hot air ballooning, Swimming', 'Traveling, Hiking', 'Knitting, Jewelry making', 'Learning a new language, Model trains']",False
Avery,White,Biomedical Engineer,"Jewelry making, Cross-stitching, Horseback riding",Emerson,6,Asian,Biomedical Scientist,"Knitting, Jewelry making","['Mackenzie', 'Alex', 'Skylar', 'Devon', 'Uli', 'Frankie', 'Emerson', 'Kameron']","['Indigenous' 'Mixed race' 'Arab' 'Black' 'White' 'Hispanic' 'Asian'
 'Pacific Islander']","['Urban Planner', 'Biomedical Engineer', 'Police Officer', 'Social Worker', 'Registered Nurse', 'Marketing Manager', 'Biomedical Scientist', 'Occupational Health and Safety Specialist']","['Cross-stitching, Sculpting', 'Genealogy, Meditating', 'Meditation, Playing an instrument', 'Horseback riding, Pottery', 'Hot air ballooning, Swimming', 'Traveling, Hiking', 'Knitting, Jewelry making', 'Learning a new language, Model trains']",False
Avery,White,Biomedical Engineer,"Jewelry making, Cross-stitching, Horseback riding",Skylar,2,Mixed race,Police Officer,"Meditation, Playing an instrument","['Mackenzie', 'Alex', 'Skylar', 'Devon', 'Uli', 'Frankie', 'Emerson', 'Kameron']","['Pacific Islander' 'Indigenous' 'Mixed race' 'Arab' 'Black' 'White'
 'Hispanic' 'Asian']","['Urban Planner', 'Biomedical Engineer', 'Police Officer', 'Social Worker', 'Registered Nurse', 'Marketing Manager', 'Biomedical Scientist', 'Occupational Health and Safety Specialist']","['Cross-stitching, Sculpting', 'Genealogy, Meditating', 'Meditation, Playing an instrument', 'Horseback riding, Pottery', 'Hot air ballooning, Swimming', 'Traveling, Hiking', 'Knitting, Jewelry making', 'Learning a new language, Model trains']",False
Avery,White,Biomedical Engineer,"Jewelry making, Cross-stitching, Horseback riding",Emerson,6,White,Biomedical Scientist,"Knitting, Jewelry making","['Mackenzie', 'Alex', 'Skylar', 'Devon', 'Uli', 'Frankie', 'Emerson', 'Kameron']","['Asian' 'Pacific Islander' 'Indigenous' 'Mixed race' 'Arab' 'Black'
 'White' 'Hispanic']","['Urban Planner', 'Biomedical Engineer', 'Police Officer', 'Social Worker', 'Registered Nurse', 'Marketing Manager', 'Biomedical Scientist', 'Occupational Health and Safety Specialist']","['Cross-stitching, Sculpting', 'Genealogy, Meditating', 'Meditation, Playing an instrument', 'Horseback riding, Pottery', 'Hot air ballooning, Swimming', 'Traveling, Hiking', 'Knitting, Jewelry making', 'Learning a new language, Model trains']",True
Avery,White,Biomedical Engineer,"Jewelry making, Cross-stitching, Horseback riding",Emerson,6,Black,Biomedical Scientist,"Knitting, Jewelry making","['Mackenzie', 'Alex', 'Skylar', 'Devon', 'Uli', 'Frankie', 'Emerson', 'Kameron']","['Hispanic' 'Asian' 'Pacific Islander' 'Indigenous' 'Mixed race' 'Arab'
 'Black' 'White']","['Urban Planner', 'Biomedical Engineer', 'Police Officer', 'Social Worker', 'Registered Nurse', 'Marketing Manager', 'Biomedical Scientist', 'Occupational Health and Safety Specialist']","['Cross-stitching, Sculpting', 'Genealogy, Meditating', 'Meditation, Playing an instrument', 'Horseback riding, Pottery', 'Hot air ballooning, Swimming', 'Traveling, Hiking', 'Knitting, Jewelry making', 'Learning a new language, Model trains']",False
Avery,White,Biomedical Engineer,"Jewelry making, Cross-stitching, Horseback riding",Mackenzie,0,White,Urban Planner,"Cross-stitching, Sculpting","['Mackenzie', 'Alex', 'Skylar', 'Devon', 'Uli', 'Frankie', 'Emerson', 'Kameron']","['White' 'Hispanic' 'Asian' 'Pacific Islander' 'Indigenous' 'Mixed race'
 'Arab' 'Black']","['Urban Planner', 'Biomedical Engineer', 'Police Officer', 'Social Worker', 'Registered Nurse', 'Marketing Manager', 'Biomedical Scientist', 'Occupational Health and Safety Specialist']","['Cross-stitching, Sculpting', 'Genealogy, Meditating', 'Meditation, Playing an instrument', 'Horseback riding, Pottery', 'Hot air ballooning, Swimming', 'Traveling, Hiking', 'Knitting, Jewelry making', 'Learning a new language, Model trains']",True
Avery,Hispanic,Biomedical Engineer,"Jewelry making, Cross-stitching, Horseback riding",Emerson,6,Mixed race,Biomedical Scientist,"Knitting, Jewelry making","['Mackenzie', 'Alex', 'Skylar', 'Devon', 'Uli', 'Frankie', 'Emerson', 'Kameron']","['Black' 'White' 'Hispanic' 'Asian' 'Pacific Islander' 'Indigenous'
 'Mixed race' 'Arab']","['Urban Planner', 'Biomedical Engineer', 'Police Officer', 'Social Worker', 'Registered Nurse', 'Marketing Manager', 'Biomedical Scientist', 'Occupational Health and Safety Specialist']","['Cross-stitching, Sculpting', 'Genealogy, Meditating', 'Meditation, Playing an instrument', 'Horseback riding, Pottery', 'Hot air ballooning, Swimming', 'Traveling, Hiking', 'Knitting, Jewelry making', 'Learning a new language, Model trains']",False
Avery,Hispanic,Biomedical Engineer,"Jewelry making, Cross-stitching, Horseback riding",Emerson,6,Indigenous,Biomedical Scientist,"Knitting, Jewelry making","['Mackenzie', 'Alex', 'Skylar', 'Devon', 'Uli', 'Frankie', 'Emerson', 'Kameron']","['Arab' 'Black' 'White' 'Hispanic' 'Asian' 'Pacific Islander' 'Indigenous'
 'Mixed race']","['Urban Planner', 'Biomedical Engineer', 'Police Officer', 'Social Worker', 'Registered Nurse', 'Marketing Manager', 'Biomedical Scientist', 'Occupational Health and Safety Specialist']","['Cross-stitching, Sculpting', 'Genealogy, Meditating', 'Meditation, Playing an instrument', 'Horseback riding, Pottery', 'Hot air ballooning, Swimming', 'Traveling, Hiking', 'Knitting, Jewelry making', 'Learning a new language, Model trains']",False
